raw_source,role,acceptance_rule,beam_width,budget_ge,task_spec,condition_number,batch_size,seed,controller,controller_role,initial_loss,final_loss,log_improvement,floor_hit,total_cost_ge,search_cost_ge,n_steps,stop_reason,rejection_rate,failure_rate,negative_curvature_rate,target,reached,cost_to_target_ge,steps_to_target
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,shrinking_Q4@easy,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.1,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,shrinking_Q4@hard,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.0001,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,shrinking_Q4@medium,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,shrinking_Q4_narrow,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,static[0],,24.20000457763672,3.953770875930786,1.8116830466643035,0,148.4,0.0,28,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,static[10],,24.20000457763672,4.441521644592285,1.6953557918436204,0,149.8,0.0,35,cost_budget,0.027777777777777776,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,static[2],,24.20000457763672,4.616584300994873,1.6566977194548171,0,147.79999999999995,0.0,19,cost_budget,0.9,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,static[4],,24.20000457763672,3.953799247741699,1.8116758708035854,0,148.4,0.0,28,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,static[6],best_static,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,static[8],,24.20000457763672,3.9710004329681396,1.8073347611395356,0,147.1,0.0,37,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
